@*******tiktoks, 20626, $400, Humor & Memes, 05/09/2019
@****.exe, 21186, $140, Business & Brand, 05/09/2019
@********_setups, 7977, $200, Gaming & Entertainment, 05/09/2019
@*********_passion, 10343, $100, Fashion & Style, 05/09/2019
@***_i9, 16208, $150, Food & Nutrition, 04/09/2019
@******ocracy, 50575, $1525, Travel & Nature, 04/09/2019
@****.co, 31453, $249, Fitness & Sports, 04/09/2019
@*********ajapti_7, 391774, $2000, Fashion & Style, 04/09/2019
@*******emes18, 19479, $2000, Humor & Memes, 04/09/2019
@******.nuur, 385980, $1500, Business & Brand, 04/09/2019
@******re.god, 21390, $250, Fitness & Sports, 04/09/2019
@*******konohax, 57440, $300, Movies TV & Fanpages, 04/09/2019
@*****odel, 11586, $100, Business & Brand, 04/09/2019
@*********anascita, 31714, $330, Humor & Memes, 04/09/2019
@******ooone, 20222, $100, Fashion & Style, 04/09/2019
@********__rings, 23023, $100, Fashion & Style, 12/09/2019
@*******teking, 10565, $125, Gaming & Entertainment, 04/09/2019
@*********.mirovic, 5063, $2000, Fashion & Style, 04/09/2019
@******_slade, 8019, $556, Gaming & Entertainment, 03/09/2019
@******ladipo, 57793, $900, Blog & Lifestyle, 03/09/2019
@******hennel, 10096, $250, Blog & Lifestyle, 03/09/2019
@*****_thaa, 6171, $100, Health & Beauty, 03/09/2019
@****a_fr, 9371, $125, Health & Beauty, 03/09/2019
@*****a_la, 9106, $100, Health & Beauty, 03/09/2019
@******s_fito, 87479, $800, Fitness & Sports, 02/09/2019
@******egoals, 6278, $100, Fashion & Style, 02/09/2019
@*****toys, 90709, $600, Luxury & Motivation, 12/09/2019
@******atest, 5128, $275, Fashion & Style, 12/09/2019
@******overs_, 17277, $140, Pets & Animals, 02/09/2019
@****s.ir, 1029885, $6000, Gaming & Entertainment, 02/09/2019
@*********proffill, 53327, $300, Blog & Lifestyle, 01/09/2019
@*******ar0101, 12497, $150, Blog & Lifestyle, 01/09/2019
@***hes, 204811, $5000, Humor & Memes, 01/09/2019
@****uia, 192634, $13500, Blog & Lifestyle, 01/09/2019
@*****rawl, 71234, $1050, Gaming & Entertainment, 01/09/2019
